,date,province,province_n,type,value
1,2020/1/19,Anhui,安徽,confirmed_cases,0
2,2020/1/19,Anhui,安徽,cured,0
3,2020/1/19,Macao,澳门,confirmed_cases,0
4,2020/1/19,Macao,澳门,cured,0
5,2020/1/19,Beijing,北京,confirmed_cases,0
6,2020/1/19,Beijing,北京,cured,0
7,2020/1/19,Chongqing,重庆,confirmed_cases,0
8,2020/1/19,Chongqing,重庆,cured,0
9,2020/1/19,Guangdong,广东,confirmed_cases,0
10,2020/1/19,Guangdong,广东,cured,0
11,2020/1/19,Gansu,甘肃,confirmed_cases,0
12,2020/1/19,Gansu,甘肃,cured,0
13,2020/1/19,Guangxi,广西,confirmed_cases,0
14,2020/1/19,Guangxi,广西,cured,0
15,2020/1/19,Guizhou,贵州,confirmed_cases,0
16,2020/1/19,Guizhou,贵州,cured,0
17,2020/1/19,Henan,河南,confirmed_cases,0
18,2020/1/19,Henan,河南,cured,0
19,2020/1/19,Hubei,湖北,confirmed_cases,0
20,2020/1/19,Hubei,湖北,cured,0
21,2020/1/19,Hebei,河北,confirmed_cases,0
22,2020/1/19,Hebei,河北,cured,0
23,2020/1/19,Fujian,福建,confirmed_cases,0
24,2020/1/19,Fujian,福建,cured,0
25,2020/1/19,Heilongjiang,黑龙江,confirmed_cases,0
26,2020/1/19,Heilongjiang,黑龙江,cured,0
27,2020/1/19,Hunan,湖南,confirmed_cases,0
28,2020/1/19,Hunan,湖南,cured,0
29,2020/1/19,Hainan,海南,confirmed_cases,0
30,2020/1/19,Hainan,海南,cured,0
31,2020/1/19,Jilin,吉林,confirmed_cases,0
32,2020/1/19,Jilin,吉林,cured,0
33,2020/1/19,Jiangsu,江苏,confirmed_cases,0
34,2020/1/19,Jiangsu,江苏,cured,0
35,2020/1/19,Jiangxi,江西,confirmed_cases,0
36,2020/1/19,Jiangxi,江西,cured,0
37,2020/1/19,Liaoning,辽宁,confirmed_cases,0
38,2020/1/19,Liaoning,辽宁,cured,0
39,2020/1/19,Inner.Mongoria,内蒙古,confirmed_cases,0
40,2020/1/19,Inner.Mongoria,内蒙古,cured,0
41,2020/1/19,Ningxia,宁夏,confirmed_cases,0
42,2020/1/19,Ningxia,宁夏,cured,0
43,2020/1/19,Qinghai,青海,confirmed_cases,0
44,2020/1/19,Qinghai,青海,cured,0
45,2020/1/19,Sichuan,四川,confirmed_cases,0
46,2020/1/19,Sichuan,四川,cured,0
47,2020/1/19,Shandong,山东,confirmed_cases,0
